"year","temp","runoff","ice_depth","SWE"
1950,-13.6858332235914,0.00103103849876277,13.3504578798479,31.2216333608315
1951,-20.8077271183503,0.000743238897829988,13.6697180532528,31.0533199861065
1952,-16.504011263958,0.000757588805319432,13.4163168806741,31.1798698360802
1953,-17.3803160053079,0.00099314408286519,12.69562993108,31.2607553014576
1954,-14.4086058004882,0.000825570405892627,13.3750752512872,31.0591656946308
1955,-16.0355986450871,0.000768241163830591,12.6700923878271,31.281477661067
1956,-18.4051217065997,0.000721315738192688,13.9002040769599,31.4993985995519
1957,-12.6181101769207,0.00122892557254484,13.2201534561843,31.8299405669945
1958,-13.6455749322426,0.00121036404172133,12.309157345918,31.3482471191093
1959,-20.5601097289617,0.00107426249195228,13.3092043017491,31.347355837463
1960,-18.7811097521579,0.00134806679476002,12.6567352404534,31.1843347081755
1961,-18.2022381698267,0.00153232240302296,12.7944733056442,31.1759659096178
1962,-17.2897467050398,0.00147694873087809,13.2542173884771,31.51119747087
1963,-16.6080984330083,0.00141186492715744,12.2752888582514,31.4966017219277
1964,-20.6100304588448,0.000917150155304849,13.0621148925279,31.1355410246417
1965,-9.14544382333889,0.00176219106674357,13.4878962894949,31.1240891717351
1966,-19.2937660434148,0.00100927164879739,13.6521542030537,31.2678328088109
1967,-16.3547190792513,0.000694303776410268,13.3132302614012,31.2841342102845
1968,-13.677619687598,0.000994741888098487,12.5921950446685,31.4149240879745
1969,-13.8947943978748,0.000802072499125806,13.6315177491602,31.0655285574932
1970,-11.1936921445409,0.00112062991147878,12.2698475056162,31.0071604041517
1971,-19.5995534778139,0.000980629357719505,13.6129522036579,31.5346876365718
1972,-20.4899545883884,0.001184588722452,13.718883372603,31.4554228170947
1973,-14.5662036204579,0.00118344139975143,13.2643471131505,31.2046056617213
1974,-17.8241515287326,0.000865414081068444,13.6469417211882,31.0453450638722
1975,-15.6469385689766,0.00126526611496474,13.0093980832614,31.389186582465
1976,-15.5420377446313,0.001249990242571,13.4847906529058,31.2193343791888
1977,-16.2311971357245,0.00111431563179715,11.5567701309879,31.3295435749878
1978,-13.2835476365344,0.00109404488869156,12.8281644381267,31.1994604912485
1979,-12.6288553761608,0.00124996305828023,12.998561448594,31.4070663105204
1980,-14.0879315644826,0.00115293407215332,12.403196400564,31.1956577631564
1981,-11.3144934110319,0.00154041482658112,12.2242733943055,31.1716040758631
1982,-15.6412111646916,0.00136255723532406,13.3040843845882,31.3944119756459
1983,-14.0466151982018,0.00131177673745155,12.8405021335038,31.2546278321376
1984,-9.88815360639973,0.00172648183093339,12.5996419054036,31.2333950647481
1985,-14.7339151105261,0.00131883542980986,12.4497023904009,31.4095043939228
1986,-16.5510802079178,0.00144883046554814,12.5246165183298,31.2808049679004
1987,-16.0948352374309,0.00113025970376666,12.1753100838106,31.2001145393821
1988,-12.5090852435844,0.00128753441800806,12.1330172400284,31.2604920630302
1989,-17.1791953984996,0.00128389827640088,13.0230429979668,31.299399217782
1990,-11.8718009642292,0.00111569159380042,12.8062392778458,31.5217717805756
1991,-13.0474738025964,0.00161517890770107,12.9481428152434,31.5573044296722
1992,-13.9056190792113,0.00148171132153398,12.4508782646484,31.3589904607595
1993,-12.4825675415548,0.00134077849223147,12.8617715363774,31.5375243802207
1994,-13.8611840158875,0.00159870838281479,12.4041080721546,31.3803413542466
1995,-17.7732699431995,0.00126854303558676,12.8984055307185,31.3970184776694
1996,-13.9555747348929,0.00132903148058312,13.0599123063069,31.1091242020723
1997,-18.4177024912178,0.00124510386630535,13.1825258735141,31.3079484561005
1998,-12.1489666762877,0.00129137468451288,12.527543498989,31.1679968752887
1999,-16.133622134756,0.00105217452755219,13.2540798421661,31.0268561829604
2000,-12.1195693330295,0.00136179656061631,12.5323517816445,31.6279454306985
2001,-15.0873267054617,0.00163882074557883,12.0823515557162,31.487838433723
2002,-17.2936773925488,0.00131818543400023,12.8203232396501,31.1615810212797
2003,-16.6746965492057,0.00160423698794984,11.3994808574403,31.4069077050746
2004,-15.7911530055443,0.0011855642016002,12.6696544599747,31.3449949101513
2005,-11.2984198368846,0.000945552399386577,12.3719235663641,31.6783931249286
2006,-18.8699317182457,0.00128264270197101,12.6749613215391,31.2302339956556
2007,-22.7350212342542,0.00125418147768699,13.1270638552583,31.1309603570779
2008,-14.5410290719128,0.00135128983223427,12.7350005131879,31.1850397848206
2009,-17.8147192492733,0.00135948516775034,13.1326244832628,31.3694482390085
2010,-14.6102860852889,0.00134565224721926,12.2293315411636,31.0590056172087
2011,-17.99558188024,0.00125261765281716,12.9884993929547,31.244622318605
2012,-17.5446891017239,0.0011647543843,12.8706485520485,31.3581004057601
2013,-16.5584449827492,0.000958208143040623,13.0110721734189,31.2192909558882
2014,-15.2000665632648,0.00130487993725344,12.2390583673726,31.5820981530476
2015,-13.7125814607248,0.00143934800240755,12.1437373823175,31.1931463262686
2016,-10.7511126176245,0.00168077435860867,11.8829405318405,31.2889636418421
2017,-21.5323499541483,0.000740238674453292,12.8938559452374,31.1231430589718
2018,-14.3401212023144,0.00136361887896533,12.3061603669821,31.5313450237364
2019,-8.77659297657931,0.00241016892821415,11.8950296940107,31.1354228985441
2020,-16.1435218130604,0.00151713439414044,12.5861729846365,31.5361356932515
2021,NA,0.0015950389889948,12.6432641416933,31.2003372984613
2022,NA,0.00151310990552229,12.5442569639018,31.8231783078975
2023,NA,0.0720306743666032,12.1889460445445,31.600826352772
